"endpoint","status","creditHeaders","responseSummary"
"GET /api/v3/data/now","NOT_FOUND_IN_COLLECTION","",""
"POST /api/v3/charts/natal","NOT_FOUND_IN_COLLECTION","",""
"POST /api/v3/data/lunar-metrics","NOT_FOUND_IN_COLLECTION","",""
"POST /api/v3/lunar/events","NOT_FOUND_IN_COLLECTION","",""
"POST /api/v3/charts/transit","NOT_FOUND_IN_COLLECTION","",""
"POST /api/v3/analysis/compatibility-score","NOT_FOUND_IN_COLLECTION","",""
"POST /api/v3/numerology/core-numbers","NOT_FOUND_IN_COLLECTION","",""
"GET /api/v3/tarot/cards/daily","NOT_FOUND_IN_COLLECTION","",""
"POST /api/v3/tarot/cards/draw","NOT_FOUND_IN_COLLECTION","",""
